Trial,Gamma,Epsilon,Epsilon Decay,Start Location,Desination,Deadline,Successful?
Trial 95,0.7,0.4,0.97,"(6, 5)","(1, 1)",45,No
Trial 96,0.7,0.4,0.97,"(8, 1)","(3, 3)",35,No
Trial 97,0.7,0.4,0.97,"(1, 5)","(7, 6)",35,No
Trial 98,0.7,0.4,0.97,"(1, 4)","(3, 1)",25,No
Trial 99,0.7,0.4,0.97,"(1, 2)","(8, 3)",40,No
Trial 0,0.7,0.4,0.98,"(6, 4)","(1, 2)",35,No
Trial 1,0.7,0.4,0.98,"(8, 2)","(4, 4)",30,No
Trial 2,0.7,0.4,0.98,"(5, 6)","(1, 6)",20,No
Trial 3,0.7,0.4,0.98,"(6, 1)","(8, 3)",20,No
Trial 4,0.7,0.4,0.98,"(3, 3)","(1, 5)",20,No
Trial 5,0.7,0.4,0.98,"(3, 2)","(1, 5)",25,Yes
Trial 6,0.7,0.4,0.98,"(2, 2)","(1, 6)",25,No
Trial 7,0.7,0.4,0.98,"(2, 4)","(5, 1)",30,No
Trial 8,0.7,0.4,0.98,"(4, 6)","(2, 1)",35,Yes
Trial 9,0.7,0.4,0.98,"(6, 1)","(3, 5)",35,Yes
Trial 10,0.7,0.4,0.98,"(1, 4)","(5, 4)",20,No
Trial 11,0.7,0.4,0.98,"(3, 6)","(7, 2)",40,No
Trial 12,0.7,0.4,0.98,"(7, 3)","(1, 2)",35,No
Trial 13,0.7,0.4,0.98,"(2, 5)","(4, 3)",20,No
Trial 14,0.7,0.4,0.98,"(5, 4)","(2, 6)",25,Yes
Trial 15,0.7,0.4,0.98,"(5, 2)","(2, 4)",25,No
Trial 16,0.7,0.4,0.98,"(5, 1)","(2, 4)",30,No
Trial 17,0.7,0.4,0.98,"(6, 2)","(3, 3)",20,No
Trial 18,0.7,0.4,0.98,"(6, 1)","(2, 1)",20,No
Trial 19,0.7,0.4,0.98,"(6, 6)","(8, 3)",25,No
Trial 20,0.7,0.4,0.98,"(8, 5)","(1, 5)",35,No
Trial 21,0.7,0.4,0.98,"(2, 6)","(7, 6)",25,No
Trial 22,0.7,0.4,0.98,"(5, 3)","(1, 1)",30,No
Trial 23,0.7,0.4,0.98,"(5, 5)","(2, 2)",30,No
Trial 24,0.7,0.4,0.98,"(3, 5)","(8, 5)",25,No
Trial 25,0.7,0.4,0.98,"(5, 3)","(8, 6)",30,No
Trial 26,0.7,0.4,0.98,"(4, 1)","(1, 2)",20,No
Trial 27,0.7,0.4,0.98,"(6, 2)","(2, 3)",25,No
Trial 28,0.7,0.4,0.98,"(7, 2)","(2, 3)",30,No
Trial 29,0.7,0.4,0.98,"(7, 3)","(3, 3)",20,No
Trial 30,0.7,0.4,0.98,"(4, 3)","(1, 4)",20,No
Trial 31,0.7,0.4,0.98,"(5, 3)","(2, 6)",30,Yes
Trial 32,0.7,0.4,0.98,"(6, 6)","(6, 1)",25,Yes
Trial 33,0.7,0.4,0.98,"(7, 6)","(5, 4)",20,No
Trial 34,0.7,0.4,0.98,"(7, 2)","(4, 4)",25,No
Trial 35,0.7,0.4,0.98,"(4, 5)","(5, 1)",25,No
Trial 36,0.7,0.4,0.98,"(4, 3)","(3, 6)",20,No
Trial 37,0.7,0.4,0.98,"(1, 6)","(6, 4)",35,No
Trial 38,0.7,0.4,0.98,"(6, 6)","(1, 2)",45,No
Trial 39,0.7,0.4,0.98,"(4, 2)","(8, 1)",25,No
Trial 40,0.7,0.4,0.98,"(3, 3)","(7, 3)",20,No
Trial 41,0.7,0.4,0.98,"(5, 4)","(2, 2)",25,No
Trial 42,0.7,0.4,0.98,"(7, 1)","(2, 4)",40,No
Trial 43,0.7,0.4,0.98,"(4, 3)","(2, 5)",20,Yes
Trial 44,0.7,0.4,0.98,"(6, 2)","(2, 3)",25,No
Trial 45,0.7,0.4,0.98,"(6, 4)","(1, 5)",30,No
Trial 46,0.7,0.4,0.98,"(1, 2)","(3, 6)",30,No
Trial 47,0.7,0.4,0.98,"(7, 3)","(3, 3)",20,No
Trial 48,0.7,0.4,0.98,"(1, 4)","(4, 2)",25,Yes
Trial 49,0.7,0.4,0.98,"(8, 2)","(6, 6)",30,No
Trial 50,0.7,0.4,0.98,"(7, 4)","(5, 6)",20,No
